gemeente,inwoners,capaciteitKVA,gasaansluitingen,provincie,mercator/x,mercator/y,lngLat/lat,lngLat/lng,percentageGroeneEnergie/2010,percentageGroeneEnergie/2011,percentageGroeneEnergie/2012,percentageGroeneEnergie/2013,percentageGroeneEnergie/2014,percentageGroeneEnergie/2015,percentageGroeneEnergie/2016,percentageGroeneEnergie/2017,percentageGroeneEnergie/2018
Achtkarspelen,27815,38340,12172,Friesland,684699.884,6987233.751,53.2075167,6.1507637,?,"2,6","5,6","4,5","3,5","3,3","3,3","4,3","5,9"
Ameland,3715,11575,4163,Friesland,639993.458,7024253.787,53.4067055,5.749159,"2,1","2,0","1,7","1,5","1,6","5,1","4,7","4,7","7,2"
Leeuwarden,123940,159130,57297,Friesland,644746.327,6985950.17,53.2005936,5.7918548,"2,4","2,9","3,0","3,0","3,8","4,2","3,9","4,5","5,5"
Schiermonnikoog,945,3935,1057,Friesland,685840.229,7037599.533,53.4782844,6.1610076,"2,3","2,5",?,"2,0","2,2","2,1","1,9","2,0","3,0"
Scherpenzeel,9880,12560,4042,Gelderland,611190.024,6780799.579,52.0795901,5.4904134,"1,9","2,2","2,4","2,5","2,9","3,2","3,0","3,2","3,9"
Amersfoort,156985,224125,63046,Utrecht,599978.036,6794662.072,52.1562499,5.3896944,"2,1","2,9","3,1","2,9","3,6","3,2","3,8","4,2","5,1"
Baarn,24815,33265,11377,Utrecht,589225.197,6804604.481,52.21115,5.2931,"2,1","2,5","2,4","2,3","2,6","2,4","2,1",?,"3,7"
De Bilt,6270,13090,5425,Utrecht,576490.915,6786241.697,52.1097009,5.178706,"2,1","2,6","2,7","2,6","2,9","2,8","2,8",?,"4,4"
Bunnik,15175,25715,6635,Utrecht,578200.96,6778411.625,52.0663713,5.1940676,"1,9","2,7","3,0","3,1","3,8","3,5","3,2","3,7","5,0"
Bunschoten,21845,39015,8848,Utrecht,598165.276,6809684.443,52.2391743,5.3734101,"1,5","1,8","1,9","1,9","7,1","6,7","6,1","6,6","3,7"
Eemnes,9230,13530,4111,Utrecht,585557.798,6812243.545,52.2532852,5.2601552,"2,0","2,8","2,8","2,8","3,3","3,1","2,8","3,5","6,0"
